HGNC	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
HGNC:3791	18.55400641	20.71116869	21.48959796	0.841909746	0.945520493	0.762689341	0.277195707	0.811008043	0.445944252	3.999863925	2.116791277	2.3692544	0.475485678	1.380599573	0.597722874
HGNC:3795	0.0	0.0	0.0	0.0	0.01597814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014284669	0.0	0.0
HGNC:976	0.008159843	0.010748401	0.003169445	12.0582337	11.79971863	11.21634592	0.478836609	0.339039798	0.173109701	0.10855704	1.298188571	0.0	6.901139951	5.072200504	8.146766792
HGNC:977	36.22104884	33.0851864	34.01462952	27.52813233	28.32011665	23.26813864	40.59211712	42.08296607	40.81462314	31.13894948	35.70287556	39.20014947	22.38599488	19.55541431	16.71572743
HGNC:986	0.04130517	0.163225384	0.0	0.011488583	0.116121972	0.043231373	0.068086334	0.10726383	0.046943691	0.0	0.02888544	0.013855936	0.012976823	0.016148117	0.0
HGNC:2698	2.471521854	2.102222107	2.46553061	13.74183143	13.59354213	15.41971745	3.100207258	2.220652958	1.685343874	2.646492819	2.270078495	2.893687806	6.226964281	3.018889415	4.349562229
HGNC:987	1.636559982	1.199306114	1.412741953	0.915225152	0.944428479	0.949206332	0.702853022	0.574250113	0.518055988	0.463244478	0.25402043	0.410945086	0.660846108	0.432519847	0.568200583
HGNC:6186	29.53311571	28.94036192	33.19724661	22.16605527	22.63528413	21.76098972	22.35455547	16.77027147	20.74203717	45.98676061	38.14389987	48.35342415	19.6790661	18.74974892	15.36446694
HGNC:6937	24.46042692	23.11049815	25.68712603	22.32449203	23.51422364	23.67240352	54.51854281	52.0227809	57.54241279	36.57777837	26.71684072	31.34980578	23.38950885	19.08392018	22.52531036
HGNC:6936	4.087529446	4.127325343	4.35990589	3.316573765	3.532240852	3.672041746	4.295563279	3.029995732	3.940352659	6.107885111	3.380477112	4.370851295	2.697125959	1.631818324	1.68856669
